data_id	pop_label	population	data_group_name	date_str	time_str	exper_duration_s	logD	temperature	rel_humidity	env_label	T12	T13	T21	T23	T31	T32	T12_pred_01	T13_pred_01	T21_pred_01	T23_pred_01	T31_pred_01	T32_pred_01	T12_pred_02	T13_pred_02	T21_pred_02	T23_pred_02	T31_pred_02	T32_pred_02	population2
A6140L13_NGM_B101	A6140L13	A6140	B101	20180122	101915	1196.971	2.89075231111563	21.6	60	NGM	-1.51770797672102	-2.51601974308165	-0.996516585628832	-4.34594979195575	-0.356077499125029	-2.17080138879958	-2.25217192273873	-2.96841465026214	-0.285419069370505	-4.07855708378741	0.146959581260732	-2.72171353326702	-1.77608820518005	-2.46595661791394	-0.638787124041668	-4.15153746360007	-0.105027326020413	-2.51099909320239	A6140
A6140L331_NGM_B101	A6140L331	A6140	B101	20180122	104222	1198.147	2.85563275656621	22.2	58	NGM	-2.34589229563829	-2.95145515572417	-0.70194519379573	-4.10190287019897	-0.171184438913866	-2.64675480268405	-3.080356241656	-3.40385006290466	0.00915232246259756	-3.83451016203063	0.331852641471895	-3.19766694715149	-2.60427252409732	-2.90139203055646	-0.344215732208566	-3.90749054184329	0.0798657341907504	-2.98695250708686	A6140
A6140L246_NGM_B101	A6140L246	A6140	B101	20180122	110325	1197.156	2.92915127334981	22.9	54	NGM	-1.85176574075532	-2.77674852171686	-0.837251974394307	-4.01369352909699	-0.255723174925154	-2.36787776320795	-2.58622968677303	-3.22914342889735	-0.126154458135979	-3.74630082092865	0.247313905460607	-2.91878990767539	-2.11014596921435	-2.72668539654915	-0.479522512807143	-3.81928120074131	-0.00467300182053754	-2.70807546761076	A6140
A6140L273_NGM_B101	A6140L273	A6140	B101	20180122	112523	1197.478	2.8547319533121	23.2	53	NGM	-1.57772992510159	-2.37742793736191	-0.446412448171118	-4.30128486477788	-0.0958485045926355	-2.96373075440664	-2.3121938711193	-2.8298228445424	0.264685068087209	-4.03389215660954	0.407188575793125	-3.51464289887407	-1.83611015356062	-2.3273648121942	-0.088682986583954	-4.1068725364222	0.155201668511981	-3.30392845880945	A6140
A6140L236_NGM_B101	A6140L236	A6140	B101	20180122	114610	1198.189	2.81264335563792	23.5	52	NGM	-1.03181866890364	-2.01713109156308	-1.13132463503746	-3.16373872972532	-0.0559898954804201	-1.18411345558597	-1.76628261492135	-2.46952599874357	-0.420227118779132	-2.89634602155698	0.447047184905341	-1.73502560005341	-1.29019889736267	-1.96706796639537	-0.773595173450296	-2.96932640136964	0.195060277624196	-1.52431115998878	A6140
A6140L228_NGM_B101	A6140L228	A6140	B101	20180122	120841	1204.895	2.72536835255573	23.6	51	NGM	-1.68026186664941	-2.418828072649	-0.530593723838268	-4.49185373633055	-0.100256812932931	-2.9372016456246	-2.41472581266712	-2.87122297982949	0.18050379242006	-4.22446102816221	0.40278026745283	-3.48811379009204	-1.93864209510844	-2.36876494748129	-0.172864262251104	-4.29744140797487	0.150793360171685	-3.27739935002741	A6140
A6140L247_NGM_B101	A6140L247	A6140	B101	20180122	122941	1199.721	3.54098841177819	23.8	50	NGM	-1.18766696117167	-2.75110184283191	-2.95042723376875	-3.88622512417288	-1.99053549182591	0.44251371021694	-1.92213090718938	-3.2034967500124	-2.23932971751042	-3.61883241600454	-1.48749841144015	-0.108398434250495	-1.4460471896307	-2.7010387176642	-2.59269777218159	-3.6918127958172	-1.73948531872129	0.102316005814126	A6140
A6140L214_NGM_B101	A6140L214	A6140	B101	20180122	125041	1254.471	2.93547940802715	24	50	NGM	-2.06401831737241	-2.62784871358488	-0.669582600011881	-3.88894431767469	-0.0616913813740096	-2.51365239528867	-2.79848226339012	-3.08024362076537	0.0415149162464465	-3.62155160950635	0.441345699011751	-3.0645645397561	-2.32239854583144	-2.57778558841717	-0.311853138424717	-3.69453198931901	0.189358791730607	-2.85385009969148	A6140
A6140L239_NGM_B101	A6140L239	A6140	B101	20180122	131250	1197.145	2.91622719592395	24	49	NGM	-1.71704041768049	-2.44260012173753	-0.602593032983143	-3.86265257005178	-0.306317025168939	-2.53833036368882	-2.4515043636982	-2.89499502891802	0.108504483275184	-3.59525986188344	0.196720055216822	-3.08924250815626	-1.97542064613952	-2.39253699656982	-0.244863571395979	-3.6682402416961	-0.0552668520643225	-2.87852806809163	A6140
A6140L248_NGM_B101	A6140L248	A6140	B101	20180122	133342	1212.739	2.93117917063311	24.1	49	NGM	-1.58697753341136	-2.4874699721292	-0.780958197478856	-4.6978423233799	-0.277977560476004	-2.93724272525337	-2.32144147942907	-2.93986487930969	-0.0698606812205285	-4.43044961521156	0.225059519909757	-3.48815486972081	-1.84535776187039	-2.43740684696149	-0.423228735891692	-4.50342999502422	-0.0269273873713876	-3.27744042965618	A6140
A6140L250_NGM_B101	A6140L250	A6140	B101	20180122	135454	1198.485	3.05748554621439	24.2	49	NGM	-0.446081159730703	-1.86406259362325	-2.61930934401634	-5.08620673115901	-1.35117988984327	-1.49711826701759	-1.18054510574841	-2.31645750080374	-1.90821182775801	-4.81881402299067	-0.848142809457509	-2.04803041148503	-0.704461388189736	-1.81399946845554	-2.26157988242918	-4.89179440280333	-1.10012971673865	-1.8373159714204	A6140
A6140L287_NGM_B101	A6140L287	A6140	B101	20180122	141543	1295.821	2.62210717115888	24.3	49	NGM	-0.945796812647772	-2.18020688792018	-1.0830826721188	-4.20596825221758	-0.242025371521871	-2.40498257000867	-1.68026075866548	-2.63260179510067	-0.371985155860473	-3.93857554404924	0.26101170886389	-2.95589471447611	-1.20417704110681	-2.13014376275247	-0.725353210531636	-4.0115559238619	0.00902480158274549	-2.74518027441148	A6140
A6140L294_NGM_B101	A6140L294	A6140	B101	20180122	151604	1218.204	3.08801374020185	24.5	48	NGM	-1.84112964692644	-2.42950754630468	-1.30910125288681	-4.00812002432907	-0.830317923906896	-1.71223358293178	-2.57559359294415	-2.88190245348517	-0.598003736628482	-3.74072731616073	-0.327280843521135	-2.26314572739922	-2.09950987538547	-2.37944442113697	-0.951371791299646	-3.81370769597339	-0.579267750802279	-2.05243128733459	A6140
A6140L233_NGM_B101	A6140L233	A6140	B101	20180122	153734	1297.499	3.01743584868323	24.6	47	NGM	-1.51550134435433	-2.37477605539099	-1.39096845707779	-4.55561628517379	-0.494447228673293	-2.24831354515786	-2.24996529037204	-2.82717096257148	-0.679870940819463	-4.28822357700545	0.0085898517124679	-2.7992256896253	-1.77388157281336	-2.32471293022328	-1.03323899549063	-4.36120395681811	-0.243397055568677	-2.58851124956067	A6140
A6140L244_NGM_B101	A6140L244	A6140	B101	20180122	160323	1198.372	3.07288648996887	24.6	46	NGM	-1.76213504600015	-2.38817419040475	-0.818906348267795	-4.35332664795348	-0.460249876255794	-2.21429931923669	-2.49659899201786	-2.84056909758524	-0.107808832009467	-4.08593393978514	0.0427872041299669	-2.76521146370413	-2.02051527445918	-2.33811106523704	-0.461176886680631	-4.1589143195978	-0.209199703151178	-2.5544970236395	A6140
A6140L264_NGM_B101	A6140L264	A6140	B101	20180122	162506	1197.199	2.81483890674547	24.7	46	NGM	-1.16536700787241	-2.13141614156408	-0.857668646703868	-5.34352617031477	-0.224267969375807	-3.230550541217	-1.89983095389012	-2.58381104874457	-0.14657113044554	-5.07613346214643	0.278769111009954	-3.78146268568444	-1.42374723633144	-2.08135301639637	-0.499939185116704	-5.14911384195909	0.0267822037288095	-3.57074824561981	A6140
A6140L326_NGM_B101	A6140L326	A6140	B101	20180122	164546	1204.917	3.04401498748648	24.8	45	NGM	-1.57466904944711	-2.454340847428	-1.47163989686609	-4.29143959145173	-0.571652840616296	-1.83408065980059	-2.30913299546482	-2.90673575460849	-0.760542380607762	-4.02404688328339	-0.0686157602305351	-2.38499280426803	-1.83304927790614	-2.40427772226029	-1.11391043527893	-4.09702726309605	-0.320602667511679	-2.1742783642034	A6140
A6140L351_NGM_B101	A6140L351	A6140	B101	20180122	170707	1197.448	3.04530692771935	24.8	45	NGM	-1.67391022149763	-2.57803963651108	-1.47922203210652	-4.25539467276224	-0.616994113127281	-1.91012116604006	-2.40837416751534	-3.03043454369157	-0.768124515848192	-3.9880019645939	-0.11395703274152	-2.4610333105075	-1.93229044995666	-2.52797651134337	-1.12149257051936	-4.06098234440656	-0.365943940022665	-2.25031887044287	A6140
A6140L218_NGM_B101	A6140L218	A6140	B101	20180122	172809	1198.808	3.04535911578904	24.8	44	NGM	-1.24040921147574	-2.32041402384635	-1.57974503659269	-4.45927883588849	-0.816339574179612	-1.62788554420666	-1.97487315749345	-2.77280893102684	-0.868647520334362	-4.19188612772015	-0.313302493793851	-2.1787976886741	-1.49878943993477	-2.27035089867864	-1.22201557500553	-4.26486650753281	-0.565289401074996	-1.96808324860947	A6140
