exper_data_id	data_id	pop_label	data_group_name	date_str	time_str	exper_duration_s	trackL	n_tracks	mean_nb_tracks	logD	temperature	rel_humidity	location_label	env_label	T12	T13	T21	T23	T31	T32
B101-20180122_101915_proc	A6140L13_NGM_B101	A6140L13	B101	20180122	101915	1196.971	348.728439059159	2669	777.59294406372	2.89075231111563	21.6	60	Paris2	NGM	-1.51770797672102	-2.51601974308165	-0.996516585628832	-4.34594979195575	-0.356077499125029	-2.17080138879958
B101-20180122_104222_proc	A6140L331_NGM_B101	A6140L331	B101	20180122	104222	1198.147	844.932291666667	1017	717.187574333533	2.85563275656621	22.2	58	Paris2	NGM	-2.34589229563829	-2.95145515572417	-0.70194519379573	-4.10190287019897	-0.171184438913866	-2.64675480268405
B101-20180122_110325_proc	A6140L246_NGM_B101	A6140L246	B101	20180122	110325	1197.156	525.830230010953	1934	849.476312895882	2.92915127334981	22.9	54	Paris2	NGM	-1.85176574075532	-2.77674852171686	-0.837251974394307	-4.01369352909699	-0.255723174925154	-2.36787776320795
B101-20180122_112523_proc	A6140L273_NGM_B101	A6140L273	B101	20180122	112523	1197.478	483.382319173364	1773	715.701542654123	2.8547319533121	23.2	53	Paris2	NGM	-1.57772992510159	-2.37742793736191	-0.446412448171118	-4.30128486477788	-0.0958485045926355	-2.96373075440664
B101-20180122_114610_proc	A6140L236_NGM_B101	A6140L236	B101	20180122	114610	1198.189	197.297542735043	3945	649.596020402243	2.81264335563792	23.5	52	Paris2	NGM	-1.03181866890364	-2.01713109156308	-1.13132463503746	-3.16373872972532	-0.0559898954804201	-1.18411345558597
B101-20180122_120841_proc	A6140L228_NGM_B101	A6140L228	B101	20180122	120841	1204.895	616.765682656827	1038	531.334911836953	2.72536835255573	23.6	51	Paris2	NGM	-1.68026186664941	-2.418828072649	-0.530593723838268	-4.49185373633055	-0.100256812932931	-2.9372016456246
B101-20180122_122941_proc	A6140L247_NGM_B101	A6140L247	B101	20180122	122941	1199.721	100.063672922252	41667	3475.26888305821	3.54098841177819	23.8	50	Paris2	NGM	-1.18766696117167	-2.75110184283191	-2.95042723376875	-3.88622512417288	-1.99053549182591	0.44251371021694
B101-20180122_125041_proc	A6140L214_NGM_B101	A6140L214	B101	20180122	125041	1254.471	686.094315245478	1576	861.944708826966	2.93547940802715	24	50	Paris2	NGM	-2.06401831737241	-2.62784871358488	-0.669582600011881	-3.88894431767469	-0.0616913813740096	-2.51365239528867
B101-20180122_131250_proc	A6140L239_NGM_B101	A6140L239	B101	20180122	131250	1197.145	579.301111111111	1704	824.56936572707	2.91622719592395	24	49	Paris2	NGM	-1.71704041768049	-2.44260012173753	-0.602593032983143	-3.86265257005178	-0.306317025168939	-2.53833036368882
B101-20180122_133342_proc	A6140L248_NGM_B101	A6140L248	B101	20180122	133342	1212.739	420.908780903666	2459	853.452137881369	2.93117917063311	24.1	49	Paris2	NGM	-1.58697753341136	-2.4874699721292	-0.780958197478856	-4.6978423233799	-0.277977560476004	-2.93724272525337
B101-20180122_135454_proc	A6140L250_NGM_B101	A6140L250	B101	20180122	135454	1198.485	141.610699152542	9661	1141.52531280134	3.05748554621439	24.2	49	Paris2	NGM	-0.446081159730703	-1.86406259362325	-2.61930934401634	-5.08620673115901	-1.35117988984327	-1.49711826701759
