population2	mf	pop_type	g	data_group_name
A660	0.0590839654808106	A	60	B301
A6140	0.199690831314684	A	140	B301
CA350	0.212480812798251	CA	190	B301
CA3100	0.395826054878047	CA	240	B301
CA1100	0.290369962076755	CA	240	B301
A0	0.156490092966165	A	0	B301
A4140	0.301009211066699	A	140	B302
A560	0.196949980396953	A	60	B302
CA250	0.147932167172002	CA	190	B302
CA2100	0.246755056672744	CA	240	B302
CA1100	0.262673887467318	CA	240	B302
A460	0.210850219619641	A	60	B302
A460	0.185071791324679	A	60	B303
CA350	0.166434116704557	CA	190	B303
A0	0.120717183897592	A	0	B303
CA150	0.243133833426094	CA	190	B303
A560	0.172499509486852	A	60	B303
A5140	0.141786246593129	A	140	B303
CA150	0.224832893761806	CA	190	B304
CA2100	0.200898336243626	CA	240	B304
A5140	0.12980552199207	A	140	B304
CA250	0.117573980976115	CA	190	B304
CA3100	0.304467953599691	CA	240	B304
A4140	0.248394833399828	A	140	B304
A660	0.0624349937553525	A	60	B305
A6140	0.209243135914048	A	140	B305
A6140	0.39997692165073	A	140	B306
A410	0.0450732891593591	A	10	B306
A110	0.232039700587392	A	10	B306
CA35	0.484589197326864	CA	145	B306
CA15	0.518760887495884	CA	145	B306
CA110	0.412897204663807	CA	150	B306
A360	0.381115965223453	A	60	B306
A310	0.343769632783082	A	10	B306
A160	0.216167424058208	A	60	B306
CA310	0.343721095456901	CA	150	B306
CA336	0.439543234114068	CA	176	B306
A6100	0.359746051611048	A	100	B306
A210	0.36772755724594	A	10	B306
CA136	0.350381408520264	CA	176	B306
CA268	0.441112587929046	CA	208	B306
A510	0.312031250324427	A	10	B306
A610	0.251590296060989	A	10	B306
OF5	0.278470413329714	A	-5	B306
CA566	0.439726857049419	CA	206	B306
CA236	0.504480076977133	CA	176	B307
A330	0.321337156169643	A	30	B307
CA432	0.508743552164287	CA	172	B307
A4100	0.350306835169323	A	100	B307
CA632	0.356683074979264	CA	172	B307
A6140	0.329973506909854	A	140	B307
CA466	0.463353124740568	CA	206	B307
A430	0.260241985169871	A	30	B307
CA168	0.29869164102998	CA	208	B307
CA310	0.278985605581397	CA	150	B307
A2100	0.295923021615532	A	100	B307
A5100	0.222774426555428	A	100	B307
A230	0.153542188329972	A	30	B307
A3100	0.329954054393134	A	100	B307
CA368	0.503802724920341	CA	208	B307
A260	0.261746691576868	A	60	B307
CA210	0.428110687189128	CA	150	B307
A130	0.243666304085396	A	30	B307
A1100	0.183979204040843	A	100	B307
CA532	0.202446052054703	CA	172	B307
CA368	0.399762421929465	CA	208	B308
CA136	0.207218635319183	CA	176	B308
CA632	0.266694975947087	CA	172	B308
CA466	0.36157905598114	CA	206	B308
A6140	0.244166417326899	A	140	B308
OF5	0.157563267296366	A	-5	B308
CA35	0.313012565848746	CA	145	B308
CA236	0.400412771955615	CA	176	B308
A310	0.202466393426834	A	10	B308
A5100	0.158259296344437	A	100	B308
CA566	0.275542625461861	CA	206	B308
CA15	0.343140282365794	CA	145	B308
A510	0.180191589810733	A	10	B308
A110	0.127723411784903	A	10	B308
CA432	0.404514722377311	CA	172	B308
A4100	0.26127406813589	A	100	B308
CA336	0.27539386325324	CA	176	B308
A410	0.0223624736061623	A	10	B308
A430	0.187493837107966	A	30	B308
A6100	0.351524774090566	A	100	B309
A230	0.191511520469105	A	30	B309
CA168	0.357399411077963	CA	208	B309
A610	0.244895290398629	A	10	B309
A330	0.382071019271852	A	30	B309
A260	0.316469747067419	A	60	B309
CA268	0.432287319379151	CA	208	B309
A160	0.210150361112265	A	60	B309
A2100	0.354361582637494	A	100	B309
CA532	0.248951990020103	CA	172	B309
A1100	0.22745276114568	A	100	B309
A210	0.35942627498259	A	10	B309
A130	0.296125553357742	A	30	B309
CA110	0.404228148706981	CA	150	B309
A6140	0.391398290703668	A	140	B309
A360	0.372690598326561	A	60	B309
CA210	0.494325953500914	CA	150	B309
A3100	0.3913773322523	A	100	B309
